GO	N	M	n	m	p.val	p.adj_bonferroni	fc	description	genes
GO:0005886	39323	2217	5853	567	6.42E-26	5.39E-24	1.718246567	plasma membrane	"Zm00001d000396,Zm00001d000403,Zm00001d000424,Zm00001d001766,Zm00001d001818,Zm00001d001862,Zm00001d001906,Zm00001d002168,Zm00001d002283,Zm00001d002287,Zm00001d002343,Zm00001d002369,Zm00001d002536,Zm00001d002540,Zm00001d002623,Zm00001d002696,Zm00001d002776,Zm00001d002850,Zm00001d002864,Zm00001d002905,Zm00001d002996,Zm00001d003019,Zm00001d003048,Zm00001d003101,Zm00001d003185,Zm00001d003188,Zm00001d003190,Zm00001d003209,Zm00001d003283,Zm00001d003508,Zm00001d003533,Zm00001d003614,Zm00001d003861,Zm00001d004015,Zm00001d004335,Zm00001d004698,Zm00001d004804,Zm00001d004972,Zm00001d005018,Zm00001d005306,Zm00001d005377,Zm00001d005383,Zm00001d005478,Zm00001d005594,Zm00001d005752,Zm00001d005782,Zm00001d005936,Zm00001d006069,Zm00001d006102,Zm00001d006142,Zm00001d006217,Zm00001d006328,Zm00001d006493,Zm00001d006511,Zm00001d006535,Zm00001d006536,Zm00001d006627,Zm00001d006679,Zm00001d006688,Zm00001d006711,Zm00001d006755,Zm00001d006759,Zm00001d006793,Zm00001d006825,Zm00001d006883,Zm00001d006944,Zm00001d007050,Zm00001d007070,Zm00001d007175,Zm00001d007186,Zm00001d007264,Zm00001d007474,Zm00001d007477,Zm00001d007610,Zm00001d007753,Zm00001d007843,Zm00001d007915,Zm00001d008278,Zm00001d008357,Zm00001d008573,Zm00001d008581,Zm00001d008585,Zm00001d008733,Zm00001d008875,Zm00001d008891,Zm00001d008965,Zm00001d009146,Zm00001d009226,Zm00001d009555,Zm00001d009572,Zm00001d009705,Zm00001d009706,Zm00001d009708,Zm00001d009746,Zm00001d009858,Zm00001d009908,Zm00001d009985,Zm00001d010234,Zm00001d010269,Zm00001d010343,Zm00001d010344,Zm00001d010385,Zm00001d010448,Zm00001d010543,Zm00001d010565,Zm00001d010607,Zm00001d010675,Zm00001d010698,Zm00001d010700,Zm00001d010838,Zm00001d010919,Zm00001d010961,Zm00001d011189,Zm00001d011393,Zm00001d011396,Zm00001d011398,Zm00001d011426,Zm00001d011451,Zm00001d011459,Zm00001d011625,Zm00001d011644,Zm00001d011687,Zm00001d011688,Zm00001d011841,Zm00001d011919,Zm00001d011967,Zm00001d012101,Zm00001d012102,Zm00001d012103,Zm00001d012173,Zm00001d012322,Zm00001d012378,Zm00001d012512,Zm00001d012545,Zm00001d012636,Zm00001d012852,Zm00001d012882,Zm00001d012899,Zm00001d012900,Zm00001d012962,Zm00001d012970,Zm00001d013109,Zm00001d013220,Zm00001d013376,Zm00001d013550,Zm00001d013572,Zm00001d013751,Zm00001d014036,Zm00001d014060,Zm00001d014063,Zm00001d014129,Zm00001d014166,Zm00001d014181,Zm00001d014328,Zm00001d014391,Zm00001d014526,Zm00001d014780,Zm00001d014788,Zm00001d014789,Zm00001d014945,Zm00001d015012,Zm00001d015091,Zm00001d015100,Zm00001d015291,Zm00001d015401,Zm00001d015559,Zm00001d015638,Zm00001d015884,Zm00001d016242,Zm00001d016477,Zm00001d016483,Zm00001d016586,Zm00001d016591,Zm00001d016792,Zm00001d016928,Zm00001d017042,Zm00001d017152,Zm00001d017247,Zm00001d017270,Zm00001d017374,Zm00001d017461,Zm00001d017516,Zm00001d017601,Zm00001d017613,Zm00001d017650,Zm00001d017657,Zm00001d017670,Zm00001d017684,Zm00001d017713,Zm00001d017806,Zm00001d017821,Zm00001d017849,Zm00001d017857,Zm00001d017874,Zm00001d017889,Zm00001d017912,Zm00001d017925,Zm00001d017965,Zm00001d017977,Zm00001d017983,Zm00001d018072,Zm00001d018179,Zm00001d018220,Zm00001d018326,Zm00001d018428,Zm00001d018431,Zm00001d018443,Zm00001d018499,Zm00001d018502,Zm00001d018799,Zm00001d019228,Zm00001d019317,Zm00001d019361,Zm00001d019505,Zm00001d019752,Zm00001d020148,Zm00001d020429,Zm00001d020463,Zm00001d020470,Zm00001d020552,Zm00001d020609,Zm00001d020702,Zm00001d020726,Zm00001d020780,Zm00001d020789,Zm00001d020915,Zm00001d020936,Zm00001d021176,Zm00001d021392,Zm00001d021638,Zm00001d021682,Zm00001d021683,Zm00001d021692,Zm00001d021698,Zm00001d021726,Zm00001d021752,Zm00001d021835,Zm00001d021883,Zm00001d021896,Zm00001d021897,Zm00001d021930,Zm00001d021935,Zm00001d021936,Zm00001d021955,Zm00001d022041,Zm00001d022044,Zm00001d022073,Zm00001d022449,Zm00001d022549,Zm00001d022582,Zm00001d023228,Zm00001d023347,Zm00001d023392,Zm00001d023608,Zm00001d023720,Zm00001d023838,Zm00001d024531,Zm00001d024755,Zm00001d024843,Zm00001d024850,Zm00001d024852,Zm00001d024853,Zm00001d025166,Zm00001d025263,Zm00001d025307,Zm00001d025431,Zm00001d025548,Zm00001d025735,Zm00001d025799,Zm00001d025807,Zm00001d025812,Zm00001d025825,Zm00001d025831,Zm00001d025887,Zm00001d025963,Zm00001d025984,Zm00001d026018,Zm00001d026126,Zm00001d026237,Zm00001d026269,Zm00001d026306,Zm00001d026426,Zm00001d026665,Zm00001d027436,Zm00001d027550,Zm00001d027571,Zm00001d027621,Zm00001d027622,Zm00001d027851,Zm00001d027992,Zm00001d028012,Zm00001d028093,Zm00001d028144,Zm00001d028167,Zm00001d028214,Zm00001d028230,Zm00001d028280,Zm00001d028454,Zm00001d028528,Zm00001d028534,Zm00001d028535,Zm00001d028620,Zm00001d028630,Zm00001d028680,Zm00001d028686,Zm00001d028713,Zm00001d028752,Zm00001d028809,Zm00001d028955,Zm00001d028960,Zm00001d028975,Zm00001d029051,Zm00001d029197,Zm00001d029397,Zm00001d029468,Zm00001d029497,Zm00001d029597,Zm00001d029785,Zm00001d030004,Zm00001d030171,Zm00001d030759,Zm00001d031049,Zm00001d031543,Zm00001d031676,Zm00001d031682,Zm00001d031706,Zm00001d032069,Zm00001d032120,Zm00001d032187,Zm00001d032408,Zm00001d032620,Zm00001d032745,Zm00001d032868,Zm00001d032869,Zm00001d032870,Zm00001d032873,Zm00001d033004,Zm00001d033174,Zm00001d033234,Zm00001d033284,Zm00001d033316,Zm00001d033389,Zm00001d033517,Zm00001d033575,Zm00001d033839,Zm00001d033980,Zm00001d033998,Zm00001d034085,Zm00001d034109,Zm00001d034152,Zm00001d034205,Zm00001d034217,Zm00001d034237,Zm00001d034365,Zm00001d034372,Zm00001d034488,Zm00001d034489,Zm00001d034495,Zm00001d034497,Zm00001d034562,Zm00001d034636,Zm00001d034655,Zm00001d034672,Zm00001d034675,Zm00001d034706,Zm00001d034745,Zm00001d034788,Zm00001d034829,Zm00001d035035,Zm00001d035157,Zm00001d035162,Zm00001d035263,Zm00001d035467,Zm00001d035553,Zm00001d035589,Zm00001d035652,Zm00001d035736,Zm00001d035775,Zm00001d035820,Zm00001d036318,Zm00001d036370,Zm00001d036402,Zm00001d036416,Zm00001d036475,Zm00001d036532,Zm00001d036602,Zm00001d036656,Zm00001d036715,Zm00001d036831,Zm00001d036965,Zm00001d037005,Zm00001d037035,Zm00001d037120,Zm00001d037181,Zm00001d037188,Zm00001d037354,Zm00001d037623,Zm00001d037624,Zm00001d037693,Zm00001d037872,Zm00001d037934,Zm00001d037949,Zm00001d038030,Zm00001d038151,Zm00001d038195,Zm00001d038218,Zm00001d038222,Zm00001d038321,Zm00001d038432,Zm00001d038447,Zm00001d038452,Zm00001d038522,Zm00001d038555,Zm00001d038562,Zm00001d038667,Zm00001d038768,Zm00001d038791,Zm00001d038873,Zm00001d038959,Zm00001d038998,Zm00001d039037,Zm00001d039052,Zm00001d039150,Zm00001d039183,Zm00001d039407,Zm00001d039427,Zm00001d039524,Zm00001d039926,Zm00001d040023,Zm00001d040127,Zm00001d040263,Zm00001d040422,Zm00001d040562,Zm00001d040697,Zm00001d041236,Zm00001d041363,Zm00001d041430,Zm00001d041476,Zm00001d041534,Zm00001d041716,Zm00001d041787,Zm00001d042056,Zm00001d042099,Zm00001d042107,Zm00001d042108,Zm00001d042114,Zm00001d042116,Zm00001d042132,Zm00001d042179,Zm00001d042214,Zm00001d042244,Zm00001d042285,Zm00001d042437,Zm00001d042453,Zm00001d042536,Zm00001d042621,Zm00001d042801,Zm00001d042909,Zm00001d042939,Zm00001d042948,Zm00001d042993,Zm00001d043026,Zm00001d043056,Zm00001d043128,Zm00001d043253,Zm00001d043272,Zm00001d043365,Zm00001d043459,Zm00001d043462,Zm00001d043512,Zm00001d043562,Zm00001d043600,Zm00001d043701,Zm00001d043713,Zm00001d043781,Zm00001d043895,Zm00001d043935,Zm00001d043959,Zm00001d043998,Zm00001d044056,Zm00001d044060,Zm00001d044100,Zm00001d044179,Zm00001d044181,Zm00001d044191,Zm00001d044300,Zm00001d044416,Zm00001d044771,Zm00001d044918,Zm00001d045119,Zm00001d045359,Zm00001d045395,Zm00001d045557,Zm00001d045558,Zm00001d045565,Zm00001d045644,Zm00001d045785,Zm00001d046263,Zm00001d046277,Zm00001d046318,Zm00001d046364,Zm00001d046488,Zm00001d046838,Zm00001d046926,Zm00001d046939,Zm00001d046960,Zm00001d047045,Zm00001d047340,Zm00001d047351,Zm00001d047675,Zm00001d047679,Zm00001d047808,Zm00001d048060,Zm00001d048131,Zm00001d048189,Zm00001d048226,Zm00001d048359,Zm00001d048683,Zm00001d048857,Zm00001d049081,Zm00001d049145,Zm00001d049154,Zm00001d049273,Zm00001d049286,Zm00001d049381,Zm00001d049640,Zm00001d050074,Zm00001d050132,Zm00001d050148,Zm00001d050164,Zm00001d050196,Zm00001d050283,Zm00001d050518,Zm00001d050716,Zm00001d050790,Zm00001d050798,Zm00001d050868,Zm00001d050899,Zm00001d051005,Zm00001d051081,Zm00001d051502,Zm00001d051525,Zm00001d051615,Zm00001d051634,Zm00001d051675,Zm00001d051795,Zm00001d051977,Zm00001d052008,Zm00001d052066,Zm00001d052179,Zm00001d052239,Zm00001d052261,Zm00001d052354,Zm00001d052779,Zm00001d052906,Zm00001d052990,Zm00001d053087,Zm00001d053119,Zm00001d053120,Zm00001d053133,Zm00001d053612,Zm00001d053695,Zm00001d053732,Zm00001d053778,Zm00001d053818,Zm00001d053995,Zm00001d053997"
GO:0003723	39323	2217	1612	23	4.17E-16	3.51E-14	0.253071797	RNA binding	"Zm00001d000293,Zm00001d001773,Zm00001d003495,Zm00001d005764,Zm00001d008907,Zm00001d012850,Zm00001d013983,Zm00001d014422,Zm00001d015129,Zm00001d015401,Zm00001d015968,Zm00001d020521,Zm00001d020524,Zm00001d020972,Zm00001d026655,Zm00001d031581,Zm00001d035989,Zm00001d039401,Zm00001d042033,Zm00001d042776,Zm00001d043094,Zm00001d051793,Zm00001d053778"
GO:0003700	39323	2217	1562	159	1.36E-10	1.14E-08	1.805498138	DNA-binding TF activity	"Zm00001d000179,Zm00001d000184,Zm00001d000303,Zm00001d000339,Zm00001d001907,Zm00001d002006,Zm00001d002364,Zm00001d002405,Zm00001d002744,Zm00001d003743,Zm00001d003884,Zm00001d004086,Zm00001d005875,Zm00001d005888,Zm00001d005969,Zm00001d006331,Zm00001d006551,Zm00001d007329,Zm00001d008176,Zm00001d008201,Zm00001d008665,Zm00001d008794,Zm00001d008808,Zm00001d009619,Zm00001d009939,Zm00001d010175,Zm00001d010232,Zm00001d010399,Zm00001d010617,Zm00001d011133,Zm00001d011403,Zm00001d011413,Zm00001d011496,Zm00001d011527,Zm00001d011881,Zm00001d012419,Zm00001d012482,Zm00001d012749,Zm00001d013208,Zm00001d013385,Zm00001d013709,Zm00001d014422,Zm00001d014628,Zm00001d015515,Zm00001d015546,Zm00001d016052,Zm00001d016257,Zm00001d016260,Zm00001d016457,Zm00001d016616,Zm00001d016748,Zm00001d017462,Zm00001d017477,Zm00001d017480,Zm00001d017592,Zm00001d018158,Zm00001d018191,Zm00001d018288,Zm00001d018973,Zm00001d019734,Zm00001d020136,Zm00001d020137,Zm00001d020714,Zm00001d021934,Zm00001d021952,Zm00001d022530,Zm00001d023443,Zm00001d023535,Zm00001d024324,Zm00001d024376,Zm00001d024768,Zm00001d025141,Zm00001d025281,Zm00001d026184,Zm00001d026252,Zm00001d026563,Zm00001d027461,Zm00001d027991,Zm00001d028017,Zm00001d028139,Zm00001d028577,Zm00001d028962,Zm00001d028986,Zm00001d029940,Zm00001d030028,Zm00001d030969,Zm00001d031725,Zm00001d031796,Zm00001d031878,Zm00001d032265,Zm00001d032433,Zm00001d033262,Zm00001d033471,Zm00001d033848,Zm00001d034073,Zm00001d034920,Zm00001d036244,Zm00001d036726,Zm00001d037165,Zm00001d037274,Zm00001d037607,Zm00001d038023,Zm00001d038216,Zm00001d038225,Zm00001d038320,Zm00001d038451,Zm00001d038941,Zm00001d039245,Zm00001d039439,Zm00001d039532,Zm00001d039963,Zm00001d040090,Zm00001d040148,Zm00001d041920,Zm00001d041981,Zm00001d042593,Zm00001d042717,Zm00001d042758,Zm00001d042892,Zm00001d043025,Zm00001d043569,Zm00001d043663,Zm00001d043706,Zm00001d043742,Zm00001d043782,Zm00001d044010,Zm00001d044162,Zm00001d044171,Zm00001d044646,Zm00001d044950,Zm00001d045262,Zm00001d045283,Zm00001d045361,Zm00001d045386,Zm00001d046805,Zm00001d046867,Zm00001d048041,Zm00001d048199,Zm00001d048208,Zm00001d048486,Zm00001d048603,Zm00001d048604,Zm00001d049173,Zm00001d049364,Zm00001d050195,Zm00001d050247,Zm00001d051451,Zm00001d051461,Zm00001d052102,Zm00001d052152,Zm00001d052355,Zm00001d052725,Zm00001d052732,Zm00001d052738,Zm00001d053369,Zm00001d053746,Zm00001d053748,Zm00001d053859,Zm00001d054032"
GO:0005730	39323	2217	1174	21	5.96E-10	5.01E-08	0.317272293	nucleolus	"Zm00001d009146,Zm00001d009844,Zm00001d011571,Zm00001d012103,Zm00001d012512,Zm00001d015012,Zm00001d017857,Zm00001d017889,Zm00001d022549,Zm00001d025735,Zm00001d026126,Zm00001d027992,Zm00001d033004,Zm00001d033234,Zm00001d034190,Zm00001d036656,Zm00001d038994,Zm00001d040697,Zm00001d042453,Zm00001d043902,Zm00001d046939"
GO:0000166	39323	2217	1341	31	3.31E-08	2.78E-06	0.410028332	nucleotide binding	"Zm00001d002475,Zm00001d005826,Zm00001d008907,Zm00001d009647,Zm00001d010788,Zm00001d011189,Zm00001d013879,Zm00001d015097,Zm00001d015363,Zm00001d015796,Zm00001d017616,Zm00001d018730,Zm00001d025812,Zm00001d027325,Zm00001d031189,Zm00001d034482,Zm00001d037852,Zm00001d037932,Zm00001d039401,Zm00001d039567,Zm00001d041794,Zm00001d042132,Zm00001d045119,Zm00001d046953,Zm00001d047794,Zm00001d048521,Zm00001d048857,Zm00001d049060,Zm00001d049273,Zm00001d049381,Zm00001d051901"
GO:0007165	39323	2217	1934	174	7.71E-08	6.47E-06	1.595782612	signal transduction	"Zm00001d001979,Zm00001d002020,Zm00001d002168,Zm00001d002175,Zm00001d002283,Zm00001d002364,Zm00001d002536,Zm00001d002632,Zm00001d002802,Zm00001d002905,Zm00001d003185,Zm00001d004357,Zm00001d004906,Zm00001d005752,Zm00001d005879,Zm00001d005965,Zm00001d006471,Zm00001d006535,Zm00001d006536,Zm00001d006551,Zm00001d006627,Zm00001d006755,Zm00001d006793,Zm00001d007050,Zm00001d007199,Zm00001d007477,Zm00001d007789,Zm00001d008357,Zm00001d008457,Zm00001d008467,Zm00001d008585,Zm00001d008586,Zm00001d008665,Zm00001d008891,Zm00001d008901,Zm00001d008966,Zm00001d010269,Zm00001d010607,Zm00001d010700,Zm00001d010788,Zm00001d010919,Zm00001d012448,Zm00001d012480,Zm00001d012636,Zm00001d013057,Zm00001d013565,Zm00001d013572,Zm00001d014328,Zm00001d014649,Zm00001d014780,Zm00001d015100,Zm00001d015291,Zm00001d015298,Zm00001d015340,Zm00001d015626,Zm00001d016219,Zm00001d016260,Zm00001d016591,Zm00001d016616,Zm00001d017029,Zm00001d017042,Zm00001d017374,Zm00001d017806,Zm00001d017821,Zm00001d017889,Zm00001d018191,Zm00001d018217,Zm00001d018278,Zm00001d018288,Zm00001d018440,Zm00001d019361,Zm00001d020172,Zm00001d020429,Zm00001d020703,Zm00001d020726,Zm00001d020807,Zm00001d021250,Zm00001d021393,Zm00001d021418,Zm00001d021487,Zm00001d021662,Zm00001d021682,Zm00001d021692,Zm00001d021726,Zm00001d021977,Zm00001d022372,Zm00001d023253,Zm00001d023392,Zm00001d024458,Zm00001d024755,Zm00001d025065,Zm00001d025548,Zm00001d025959,Zm00001d026489,Zm00001d026662,Zm00001d027355,Zm00001d027863,Zm00001d027988,Zm00001d028440,Zm00001d028465,Zm00001d028535,Zm00001d028649,Zm00001d028809,Zm00001d028960,Zm00001d028975,Zm00001d029829,Zm00001d029888,Zm00001d030004,Zm00001d030171,Zm00001d031023,Zm00001d031049,Zm00001d031377,Zm00001d031796,Zm00001d032036,Zm00001d032408,Zm00001d032510,Zm00001d032618,Zm00001d033839,Zm00001d034608,Zm00001d034722,Zm00001d034781,Zm00001d034859,Zm00001d035589,Zm00001d036532,Zm00001d036602,Zm00001d037165,Zm00001d037180,Zm00001d037386,Zm00001d037783,Zm00001d037810,Zm00001d037932,Zm00001d038225,Zm00001d038450,Zm00001d038768,Zm00001d039103,Zm00001d039427,Zm00001d039795,Zm00001d039799,Zm00001d039923,Zm00001d040027,Zm00001d040094,Zm00001d040263,Zm00001d041454,Zm00001d041476,Zm00001d041787,Zm00001d042593,Zm00001d042948,Zm00001d042950,Zm00001d043038,Zm00001d043253,Zm00001d043562,Zm00001d044182,Zm00001d044921,Zm00001d044950,Zm00001d045102,Zm00001d045386,Zm00001d046364,Zm00001d046370,Zm00001d047664,Zm00001d047679,Zm00001d047883,Zm00001d048199,Zm00001d049727,Zm00001d051461,Zm00001d051615,Zm00001d052102,Zm00001d052152,Zm00001d052478,Zm00001d052906,Zm00001d052990,Zm00001d053119,Zm00001d053133,Zm00001d053695,Zm00001d053818"
GO:0005654	39323	2217	487	4	1.28E-07	1.07E-05	0.145684041	nucleoplasm	"Zm00001d010918,Zm00001d023480,Zm00001d027585,Zm00001d047170"
GO:0005773	39323	2217	1023	100	1.34E-06	0.000112267	1.733825222	vacuole	"Zm00001d002006,Zm00001d002014,Zm00001d002016,Zm00001d002018,Zm00001d005377,Zm00001d005782,Zm00001d005783,Zm00001d006069,Zm00001d006233,Zm00001d007354,Zm00001d007421,Zm00001d009572,Zm00001d009708,Zm00001d009714,Zm00001d009985,Zm00001d010448,Zm00001d010700,Zm00001d010855,Zm00001d010911,Zm00001d011425,Zm00001d011426,Zm00001d012102,Zm00001d012378,Zm00001d012641,Zm00001d013057,Zm00001d013097,Zm00001d013108,Zm00001d013610,Zm00001d013908,Zm00001d014244,Zm00001d015096,Zm00001d016130,Zm00001d016708,Zm00001d017820,Zm00001d018332,Zm00001d018627,Zm00001d019758,Zm00001d020463,Zm00001d021726,Zm00001d021775,Zm00001d021901,Zm00001d022451,Zm00001d025011,Zm00001d025166,Zm00001d026490,Zm00001d028230,Zm00001d028651,Zm00001d028785,Zm00001d029397,Zm00001d029785,Zm00001d031158,Zm00001d032401,Zm00001d032408,Zm00001d032850,Zm00001d033187,Zm00001d033455,Zm00001d033980,Zm00001d034494,Zm00001d034745,Zm00001d035020,Zm00001d035021,Zm00001d035646,Zm00001d037005,Zm00001d037025,Zm00001d037797,Zm00001d038522,Zm00001d038577,Zm00001d038645,Zm00001d039037,Zm00001d039439,Zm00001d040705,Zm00001d041430,Zm00001d041454,Zm00001d042022,Zm00001d042141,Zm00001d042148,Zm00001d042975,Zm00001d043121,Zm00001d043253,Zm00001d043293,Zm00001d043323,Zm00001d043935,Zm00001d044947,Zm00001d045395,Zm00001d046318,Zm00001d046801,Zm00001d047845,Zm00001d048014,Zm00001d048220,Zm00001d048690,Zm00001d049260,Zm00001d050148,Zm00001d050899,Zm00001d051675,Zm00001d051795,Zm00001d052064,Zm00001d052354,Zm00001d052653,Zm00001d053733,Zm00001d053997"
GO:0005840	39323	2217	767	16	7.48E-06	0.000627916	0.370003276	ribosome	"Zm00001d003496,Zm00001d006330,Zm00001d006489,Zm00001d007830,Zm00001d010385,Zm00001d011968,Zm00001d013080,Zm00001d017461,Zm00001d022078,Zm00001d032582,Zm00001d032618,Zm00001d033262,Zm00001d033835,Zm00001d034427,Zm00001d035647,Zm00001d043586"
GO:0003676	39323	2217	1842	60	1.17E-05	0.000980664	0.577753486	nucleic acid binding	"Zm00001d001774,Zm00001d002014,Zm00001d002016,Zm00001d002018,Zm00001d002468,Zm00001d002475,Zm00001d003545,Zm00001d006896,Zm00001d008498,Zm00001d010131,Zm00001d011023,Zm00001d011189,Zm00001d011968,Zm00001d012321,Zm00001d013500,Zm00001d013550,Zm00001d013743,Zm00001d017849,Zm00001d018730,Zm00001d021842,Zm00001d021955,Zm00001d023228,Zm00001d023480,Zm00001d025812,Zm00001d026657,Zm00001d026661,Zm00001d026681,Zm00001d027325,Zm00001d027851,Zm00001d027992,Zm00001d028941,Zm00001d029584,Zm00001d029586,Zm00001d029587,Zm00001d029888,Zm00001d030108,Zm00001d033389,Zm00001d034145,Zm00001d034611,Zm00001d034615,Zm00001d034783,Zm00001d037191,Zm00001d038030,Zm00001d038297,Zm00001d038562,Zm00001d039469,Zm00001d042811,Zm00001d043026,Zm00001d043178,Zm00001d045459,Zm00001d045460,Zm00001d047170,Zm00001d047330,Zm00001d047333,Zm00001d047334,Zm00001d047794,Zm00001d048165,Zm00001d048521,Zm00001d049273,Zm00001d049381"
